saddr,daddr,proto,src_mac,dst_mac,sport,dport,flag,N_IN_Conn_P_SrcIP,N_IN_Conn_P_DstIP,length,time,datarate,dns,scan
89.122.198.254,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
112.189.171.98,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
185.150.197.46,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
126.90.152.77,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,68,1,68.0,0,0
210.117.181.96,8.8.8.8,1,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,53751,53,0,8873,6,60,42.374220848083496,1.4159552388020766,0,0
210.117.181.96,210.117.181.86,0,70:5d:cc:57:c7:b5,18:c0:4d:c1:99:40,36526,20223,2,8873,7,60,10.275211334228516,5.839295956875317,0,0
210.117.181.96,154.91.18.208,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,49684,23,2,8873,3,60,1.825571060180664,32.86642810500196,0,2
73.34.156.204,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
77.4.69.233,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
14.36.200.254,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
183.64.248.101,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
87.78.84.65,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
89.64.13.218,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
62.143.84.212,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
87.145.87.132,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
91.97.122.125,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
95.112.91.133,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
87.184.255.158,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
87.178.187.80,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
218.188.104.9,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
84.132.43.230,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
61.94.4.118,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
79.208.112.207,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
209.165.240.9,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
211.254.173.161,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
84.60.27.154,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
207.222.38.49,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
210.117.181.96,8.8.4.4,1,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,44992,53,0,8873,12,56,7.2794177532196045,7.692922964234582,0,0
210.117.181.96,8.8.8.8,1,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,43863,53,0,8873,6,56,42.374220848083496,1.3215582228819382,0,0
201.147.130.213,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
210.117.181.96,8.8.4.4,1,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,50727,53,0,8873,12,56,7.2794177532196045,7.692922964234582,0,0
